2016-08-19,0.98%
2016-08-22,0.94%
2016-08-23,0.89%
2016-08-24,0.57%
2016-08-25,1.03%
2016-08-26,0.77%
2016-08-29,0.53%
2016-08-30,0.55%
2016-08-31,0.79%
2016-09-01,0.84%
2016-09-02,0.72%
2016-09-05,0.66%
2016-09-06,1.38%
2016-09-07,0.58%
2016-09-08,0.42%
2016-09-09,0.76%
2016-09-12,1.33%
2016-09-13,0.69%
2016-09-14,0.75%
2016-09-19,0.71%
2016-09-20,0.39%
2016-09-21,0.49%
2016-09-22,0.64%
2016-09-23,0.46%
2016-09-26,1.59%
2016-09-27,0.98%
2016-09-28,0.55%
2016-09-29,0.58%
2016-09-30,0.54%
2016-10-10,1.12%
2016-10-11,0.59%
2016-10-12,0.38%
2016-10-13,0.4%
2016-10-14,0.71%
2016-10-17,1.14%
2016-10-18,1.54%
2016-10-19,0.63%
2016-10-20,0.43%
2016-10-21,1.06%
2016-10-24,1.5%
2016-10-25,0.37%
2016-10-26,0.62%
2016-10-27,0.46%
2016-10-28,0.88%
2016-10-31,0.68%
2016-11-01,0.82%
2016-11-02,0.61%
2016-11-03,1.51%
2016-11-04,0.7%
2016-11-07,0.71%
2016-11-08,0.7%
2016-11-09,1.59%
2016-11-10,0.76%
2016-11-11,1.16%
2016-11-14,1.08%
2016-11-15,0.6%
2016-11-16,0.48%
2016-11-17,0.74%
2016-11-18,0.78%
2016-11-21,1.3%
2016-11-22,0.89%
2016-11-23,0.96%
2016-11-24,0.77%
2016-11-25,1.63%
2016-11-28,0.63%
2016-11-29,1.15%
2016-11-30,1.15%
2016-12-01,0.72%
2016-12-02,1.36%
2016-12-05,0.76%
2016-12-06,0.59%
2016-12-07,1.03%
2016-12-08,0.52%
2016-12-09,1.17%
2016-12-12,2.94%
2016-12-13,1.39%
2016-12-14,1.07%
2016-12-15,1.21%
2016-12-16,0.72%
2016-12-19,0.49%
2016-12-20,1.03%
2016-12-21,1.06%
2016-12-22,0.52%
2016-12-23,1.1%
2016-12-26,1.75%
2016-12-27,0.45%
2016-12-28,0.78%
2016-12-29,0.79%
2016-12-30,0.61%
2017-01-03,1%
2017-01-04,0.96%
2017-01-05,0.45%
2017-01-06,0.6%
2017-01-09,0.81%
2017-01-10,0.54%
2017-01-11,0.97%
2017-01-12,0.92%
2017-01-13,0.91%
2017-01-16,1.95%
2017-01-17,1.18%
2017-01-18,0.81%
2017-01-19,0.7%
2017-01-20,0.98%
2017-01-23,0.65%
2017-01-24,0.58%
2017-01-25,0.58%
2017-01-26,0.45%
2017-02-03,0.84%
2017-02-06,0.75%
2017-02-07,0.62%
2017-02-08,1.12%
2017-02-09,0.77%
2017-02-10,0.7%
2017-02-13,0.64%
2017-02-14,0.44%
2017-02-15,0.91%
2017-02-16,0.7%
2017-02-17,1.21%
2017-02-20,1.33%
2017-02-21,0.45%
2017-02-22,0.54%
2017-02-23,0.85%
2017-02-24,0.63%
2017-02-27,0.85%
2017-02-28,0.52%
2017-03-01,0.68%
2017-03-02,0.87%
2017-03-03,0.45%
2017-03-06,0.61%
2017-03-07,0.49%
2017-03-08,0.45%
2017-03-09,0.88%
2017-03-10,0.43%
2017-03-13,1.37%
2017-03-14,0.46%
2017-03-15,0.49%
2017-03-16,0.7%
2017-03-17,1.28%
2017-03-20,0.71%
2017-03-21,0.48%
2017-03-22,0.82%
2017-03-23,1.24%
2017-03-24,1.05%
2017-03-27,0.65%
2017-03-28,0.6%
2017-03-29,0.89%
2017-03-30,1.36%
2017-03-31,0.65%
2017-04-05,1.16%
2017-04-06,0.64%
2017-04-07,0.61%
2017-04-10,0.62%
2017-04-11,1.41%
2017-04-12,0.69%
2017-04-13,0.6%
2017-04-14,1.15%
2017-04-17,0.93%
2017-04-18,0.89%
2017-04-19,1.33%
2017-04-20,0.95%
2017-04-21,0.7%
2017-04-24,1.67%
2017-04-25,0.89%
2017-04-26,0.69%
2017-04-27,1.84%
2017-04-28,0.58%
2017-05-02,0.58%
2017-05-03,0.78%
2017-05-04,1.03%
2017-05-05,0.82%
2017-05-08,0.83%
2017-05-09,0.9%
2017-05-10,1.27%
2017-05-11,1.54%
2017-05-12,1.26%
2017-05-15,0.42%
2017-05-16,1.71%
2017-05-17,0.59%
2017-05-18,0.82%
2017-05-19,0.46%
2017-05-22,1.32%
2017-05-23,1.09%
2017-05-24,1.39%
